# time omega_err_norm v_err_norm
0.000000 1.570041 0.633526
0.010000 1.570041 0.633526
0.020000 1.567529 0.627354
0.030000 1.572814 0.616142
0.040000 1.592377 0.600739
0.050000 1.630149 0.581865
0.060000 1.688360 0.560245
0.070000 1.768107 0.536702
0.080000 1.869735 0.512209
0.090000 1.993091 0.487911
0.100000 2.137690 0.465099
0.110000 2.302831 0.445154
0.120000 2.487671 0.429482
0.130000 2.691278 0.419525
0.140000 2.912667 0.416999
0.150000 3.132360 0.422106
0.160000 2.878465 0.378352
0.170000 2.609866 0.351984
0.180000 2.327605 0.344362
0.190000 2.032721 0.355976
0.200000 1.726265 0.385317
0.210000 1.409310 0.429186
0.220000 1.083015 0.483875
0.230000 0.748842 0.546055
0.240000 0.409927 0.613098
0.250000 0.104453 0.683104
0.260000 0.321387 0.754875
0.270000 0.675887 0.827955
0.280000 1.039656 0.902762
0.290000 1.408061 0.980594
0.300000 1.780849 1.064457
0.310000 2.157793 1.160742
0.320000 2.536055 1.278041
0.330000 2.913562 1.428398
0.340000 2.993192 1.483978
0.350000 2.618254 1.368559
0.360000 2.245371 1.293802
0.370000 1.875123 1.249832
0.380000 1.507943 1.228604
0.390000 1.144354 1.223290
0.400000 0.785038 1.228100
0.410000 0.430906 1.238460
0.420000 0.087841 1.250950
0.430000 0.266575 1.263159
0.440000 0.602640 1.273423
0.450000 0.932903 1.280708
0.460000 1.256114 1.284576
0.470000 1.571710 1.285069
0.480000 1.879280 1.282562
0.490000 2.178508 1.277919
0.500000 2.469073 1.272571
0.510000 2.750673 1.268346
0.520000 3.023058 1.267510
0.530000 2.997222 1.161123
0.540000 2.744057 0.998795
0.550000 2.500835 0.870724
0.560000 2.267721 0.770012
0.570000 2.044885 0.691125
0.580000 1.832478 0.629379
0.590000 1.630623 0.580945
0.600000 1.439442 0.542481
0.610000 1.259029 0.511241
0.620000 1.089473 0.485267
0.630000 0.930834 0.462954
0.640000 0.783138 0.443210
0.650000 0.646447 0.425503
0.660000 0.520756 0.409465
0.670000 0.406019 0.395029
0.680000 0.302271 0.382367
0.690000 0.209537 0.371723
0.700000 0.127929 0.363418
0.710000 0.058398 0.357786
0.720000 0.021072 0.355117
0.730000 0.060030 0.355613
0.740000 0.098705 0.359353
0.750000 0.128109 0.366283
0.760000 0.147763 0.376229
0.770000 0.157719 0.388924
0.780000 0.158158 0.404041
0.790000 0.149347 0.421228
0.800000 0.131681 0.440140
0.810000 0.105886 0.460452
0.820000 0.073956 0.481878
0.830000 0.045557 0.504174
0.840000 0.057994 0.527138
0.850000 0.109509 0.550607
0.860000 0.175796 0.574461
0.870000 0.251554 0.598610
0.880000 0.335401 0.622996
0.890000 0.426704 0.647591
0.900000 0.525041 0.672386
0.910000 0.630067 0.697397
0.920000 0.741467 0.722656
0.930000 0.858944 0.748213
0.940000 0.982205 0.774134
