# time omega_err_norm v_err_norm
0.000000 1.570041 0.633526
0.010000 1.570041 0.633526
0.020000 1.567529 0.627354
0.030000 1.572964 0.616507
0.040000 1.591734 0.602034
0.050000 1.626227 0.584747
0.060000 1.677089 0.565369
0.070000 1.743973 0.544605
0.080000 1.825997 0.523179
0.090000 1.922007 0.501841
0.100000 2.030735 0.481346
0.110000 2.150896 0.462429
0.120000 2.281235 0.445770
0.130000 2.420554 0.431965
0.140000 2.567731 0.421527
0.150000 2.721722 0.414928
0.160000 2.881565 0.412699
0.170000 3.046370 0.415608
0.180000 3.067861 0.405437
0.190000 2.895504 0.378349
0.200000 2.720429 0.360197
0.210000 2.543262 0.350986
0.220000 2.364574 0.350567
0.230000 2.184890 0.358428
0.240000 2.004687 0.373656
0.250000 1.824400 0.395048
0.260000 1.644425 0.421297
0.270000 1.465122 0.451137
0.280000 1.286819 0.483438
0.290000 1.109788 0.517495
0.300000 0.933069 0.552421
0.310000 0.756167 0.587017
0.320000 0.581464 0.620907
0.330000 0.410629 0.653956
0.340000 0.243911 0.685802
0.350000 0.086742 0.716370
0.360000 0.098964 0.745532
0.370000 0.251786 0.772778
0.380000 0.406894 0.798024
0.390000 0.560056 0.821518
0.400000 0.710619 0.843345
0.410000 0.858362 0.863684
0.420000 1.003209 0.882737
0.430000 1.145099 0.900625
0.440000 1.283902 0.917592
0.450000 1.419539 0.933989
0.460000 1.552011 0.950232
0.470000 1.681285 0.966680
0.480000 1.807340 0.983506
0.490000 1.930225 1.001083
0.500000 2.049972 1.019946
0.510000 2.166585 1.040438
0.520000 2.280080 1.062740
0.530000 2.390458 1.087141
0.540000 2.497720 1.113990
0.550000 2.601886 1.143430
0.560000 2.702990 1.175463
0.570000 2.801063 1.210172
0.580000 2.896134 1.247548
0.590000 2.988242 1.287468
0.600000 3.077419 1.329799
0.610000 3.119485 1.355113
0.620000 3.036054 1.328464
0.630000 2.955434 1.304663
0.640000 2.877580 1.283121
0.650000 2.802447 1.263440
0.660000 2.729987 1.245179
0.670000 2.660154 1.227945
0.680000 2.592898 1.211517
0.690000 2.528171 1.195657
0.700000 2.465923 1.180148
0.710000 2.406105 1.164830
0.720000 2.348666 1.149570
0.730000 2.293557 1.134264
0.740000 2.240726 1.118831
0.750000 2.190125 1.103209
0.760000 2.141703 1.087353
0.770000 2.095411 1.071232
0.780000 2.051199 1.054828
0.790000 2.009020 1.038130
0.800000 1.968826 1.021139
0.810000 1.930569 1.003860
0.820000 1.894202 0.986306
0.830000 1.859681 0.968492
0.840000 1.826960 0.950439
0.850000 1.795995 0.932170
0.860000 1.766744 0.913708
0.870000 1.739164 0.895080
0.880000 1.713214 0.876314
0.890000 1.688854 0.857437
0.900000 1.666044 0.838476
0.910000 1.644747 0.819460
0.920000 1.624926 0.800414
0.930000 1.606543 0.781367
0.940000 1.589563 0.762343
