# time jt1 jt2 jt3 jt4 jt5 jt6
0.000000,0.000000,-1.570000,0.000000,0.000000,0.000000,3.140000
0.010000,0.000000,-1.570000,0.000000,0.000000,0.000000,3.140000
0.020000,0.000000,-1.559953,-0.007536,0.030134,0.000000,3.104843
0.030000,-0.000223,-1.541038,-0.020913,0.085817,0.000001,3.049056
0.040000,-0.000836,-1.514294,-0.038743,0.163333,-0.000011,2.981396
0.050000,-0.001949,-1.480636,-0.059896,0.259601,-0.000071,2.907115
0.060000,-0.003630,-1.440868,-0.083463,0.372030,-0.000236,2.829346
0.070000,-0.005894,-1.395700,-0.108724,0.498411,-0.000579,2.749936
0.080000,-0.008710,-1.345748,-0.135121,0.636848,-0.001175,2.669961
0.090000,-0.012005,-1.291555,-0.162238,0.785700,-0.002078,2.590032
0.100000,-0.015676,-1.233594,-0.189773,0.943541,-0.003310,2.510482
0.110000,-0.019607,-1.172283,-0.217507,1.109119,-0.004854,2.431483
0.120000,-0.023682,-1.107998,-0.245291,1.281331,-0.006659,2.353112
0.130000,-0.027795,-1.041078,-0.273017,1.459199,-0.008651,2.275391
0.140000,-0.031861,-0.971833,-0.300614,1.641849,-0.010748,2.198313
0.150000,-0.035811,-0.900547,-0.328036,1.828502,-0.012871,2.121855
0.160000,-0.039592,-0.827482,-0.355254,2.018456,-0.014949,2.045988
0.170000,-0.043170,-0.752879,-0.382255,2.211084,-0.016926,1.970681
0.180000,-0.046518,-0.676959,-0.409039,2.405821,-0.018760,1.895899
0.190000,-0.049622,-0.599926,-0.435615,2.602159,-0.020426,1.821614
0.200000,-0.052473,-0.521967,-0.462001,2.799643,-0.021909,1.747794
0.210000,-0.055066,-0.443252,-0.488221,2.997865,-0.023208,1.674413
0.220000,-0.057402,-0.363938,-0.514304,3.196460,-0.024332,1.601445
0.230000,-0.059482,-0.284168,-0.540285,3.395103,-0.025294,1.528865
0.240000,-0.061311,-0.204071,-0.566202,3.593507,-0.026114,1.456650
0.250000,-0.062893,-0.123767,-0.592096,3.791416,-0.026815,1.384779
0.260000,-0.064236,-0.043365,-0.618010,3.988608,-0.027419,1.313230
0.270000,-0.065346,0.037037,-0.643988,4.184891,-0.027944,1.241984
0.280000,-0.066231,0.117350,-0.670078,4.380095,-0.028408,1.171020
0.290000,-0.066768,0.198600,-0.697776,4.578662,-0.028429,1.096078
0.300000,-0.066951,0.280771,-0.727132,4.780558,-0.027992,1.018238
0.310000,-0.067066,0.361459,-0.755080,4.975913,-0.027916,0.947295
0.320000,-0.067134,0.440550,-0.781695,5.164662,-0.028217,0.881183
0.330000,-0.067022,0.519228,-0.808718,5.352026,-0.028452,0.813711
0.340000,-0.066738,0.597435,-0.836177,5.537887,-0.028610,0.745483
0.350000,-0.066192,0.675077,-0.863465,5.721304,-0.028385,0.677128
0.360000,-0.065385,0.752109,-0.890580,5.902187,-0.027748,0.608784
0.370000,-0.064530,0.828584,-0.918879,6.082304,-0.027312,0.539954
0.380000,-0.063640,0.904457,-0.948399,6.261628,-0.027088,0.470868
0.390000,-0.062615,0.979636,-0.978438,6.439151,-0.026744,0.401975
0.400000,-0.061461,1.054087,-1.009008,6.614851,-0.026283,0.333260
