# 6-DOF UR5 robot arm csv file for CoppeliaSim animation.
# All lines beginning with # are treated as a comment and ignored.
# Each line below is of the form
# jt1ang jt2ang jt3ang jt4ang jt5ang jt6ang
# where each joint angle is expressed in radians.

-1.540739,0.922501,-2.309102,2.849425,-0.367858,-0.573213
-1.527583,0.873780,-2.251522,3.004363,-0.370010,-0.636810
-1.515828,0.829019,-2.194787,-3.127412,-0.371538,-0.700246
-1.505332,0.788101,-2.139149,-2.979406,-0.372032,-0.763474
-1.495980,0.750908,-2.084855,-2.834646,-0.371138,-0.826507
-1.487671,0.717325,-2.032134,-2.692956,-0.368564,-0.889393
-1.480309,0.687241,-1.981198,-2.554146,-0.364085,-0.952209
-1.473792,0.660555,-1.932236,-2.418031,-0.357555,-1.015040
-1.468014,0.637177,-1.885411,-2.284430,-0.348906,-1.077973
-1.462865,0.617026,-1.840863,-2.153178,-0.338159,-1.141084
-1.458223,0.600032,-1.798708,-2.024128,-0.325416,-1.204432
-1.453968,0.586137,-1.759034,-1.897158,-0.310854,-1.268053
-1.449972,0.575287,-1.721907,-1.772168,-0.294711,-1.331956
-1.446114,0.567440,-1.687370,-1.649087,-0.277274,-1.396131
-1.442274,0.562556,-1.655440,-1.527868,-0.258856,-1.460544
-1.438345,0.560601,-1.626113,-1.408495,-0.239781,-1.525150
-1.434231,0.561542,-1.599365,-1.290972,-0.220370,-1.589893
-1.429857,0.565351,-1.575148,-1.175332,-0.200921,-1.654719
-1.425162,0.571995,-1.553391,-1.061631,-0.181707,-1.719573
-1.420112,0.581444,-1.534002,-0.949947,-0.162966,-1.784408
-1.414710,0.593666,-1.516870,-0.840370,-0.144466,-1.849214
-1.408936,0.608621,-1.501845,-0.733030,-0.126806,-1.913922
-1.402808,0.626264,-1.488758,-0.628078,-0.110594,-1.978484
-1.396376,0.646549,-1.477421,-0.525658,-0.095532,-2.042921
-1.389689,0.669419,-1.467617,-0.425943,-0.081742,-2.107221
-1.382801,0.694810,-1.459103,-0.329117,-0.069327,-2.171378
-1.375768,0.722646,-1.451613,-0.235372,-0.058379,-2.235391
-1.368643,0.752842,-1.444859,-0.144907,-0.048970,-2.299265
-1.361470,0.785297,-1.438532,-0.057925,-0.041155,-2.363008
-1.354285,0.819897,-1.432304,0.025374,-0.034958,-2.426631
-1.347110,0.856511,-1.425828,0.104794,-0.030375,-2.490149
-1.339953,0.894993,-1.418743,0.180145,-0.027369,-2.553580
-1.332802,0.935173,-1.410673,0.251249,-0.025863,-2.616941
