# time omega_err_norm v_err_norm
1.850000 2.086437 1.217067
1.860000 2.110434 1.205598
1.870000 2.134504 1.194410
1.880000 2.158642 1.183884
1.890000 2.182855 1.174364
1.900000 2.207164 1.165845
1.910000 2.231595 1.158317
1.920000 2.256177 1.151772
1.930000 2.280937 1.146204
1.940000 2.305896 1.141603
1.950000 2.331076 1.137966
1.960000 2.356490 1.135286
1.970000 2.382152 1.133562
1.980000 2.408072 1.132793
1.990000 2.434258 1.132983
2.000000 2.460715 1.134136
2.010000 2.487450 1.136261
2.020000 2.514465 1.139369
2.030000 2.541766 1.143475
2.040000 2.569354 1.148596
2.050000 2.597232 1.154754
2.060000 2.625401 1.161972
2.070000 2.653864 1.170278
2.080000 2.682622 1.179702
2.090000 2.711676 1.190279
2.100000 2.741026 1.202047
2.110000 2.770673 1.215046
2.120000 2.800617 1.229325
2.130000 2.830848 1.244931
2.140000 2.861351 1.261911
2.150000 2.892105 1.280313
2.160000 2.923088 1.300182
2.170000 2.954273 1.321565
2.180000 2.985633 1.344505
2.190000 3.017136 1.369039
2.200000 3.048753 1.395202
2.210000 3.080449 1.423021
2.220000 3.112191 1.452513
2.230000 3.139241 1.481557
2.240000 3.107511 1.485471
2.250000 3.075839 1.490579
2.260000 3.044259 1.496833
2.270000 3.012803 1.504064
2.280000 2.981504 1.511669
2.290000 2.950404 1.519077
2.300000 2.919562 1.525771
2.310000 2.889046 1.531787
2.320000 2.858926 1.537179
2.330000 2.829271 1.541992
2.340000 2.800147 1.546259
2.350000 2.771616 1.550006
2.360000 2.743731 1.553247
2.370000 2.716546 1.555982
2.380000 2.690108 1.558201
2.390000 2.664467 1.559881
2.400000 2.639671 1.560985
2.410000 2.615773 1.561460
2.420000 2.592830 1.561236
2.430000 2.570907 1.560222
2.440000 2.550085 1.558310
2.450000 2.530459 1.555371
2.460000 2.512150 1.551264
2.470000 2.495316 1.545847
2.480000 2.480160 1.538997
2.490000 2.466952 1.530652
2.500000 2.456046 1.520858
2.510000 2.447908 1.509833
2.520000 2.443134 1.498026
2.530000 2.442456 1.486151
2.540000 2.446722 1.475167
2.550000 2.456837 1.466223
2.560000 2.473667 1.460577
2.570000 2.497545 1.459414
2.580000 2.528058 1.463605
2.590000 2.563966 1.473548
